step,actic loss,critic loss,average distance,time
3280,-483.3034,18718.5508,493.2304,0min35sec
3290,-481.8481,18666.3769,492.9502,0min35sec
3300,-480.3971,18614.1958,492.6640,0min35sec
3310,-478.9580,18562.6156,492.3843,0min47sec
3320,-477.5345,18511.5912,492.1066,0min45sec
3330,-476.1082,18460.5111,491.8310,0min45sec
3340,-474.7016,18410.0314,491.5553,0min46sec
3350,-473.3140,18360.0401,491.2874,0min47sec
3360,-471.9301,18309.8193,491.0173,0min48sec
3370,-470.5460,18259.9629,490.7453,0min50sec
3380,-469.1654,18210.3153,490.4728,0min49sec
3390,-467.7877,18160.9581,490.2055,0min48sec
3400,-466.4359,18111.9941,489.9441,0min48sec
3410,-465.0724,18063.4317,489.6855,0min48sec
3420,-463.7319,18015.6048,489.4396,0min46sec
3430,-462.4002,17967.4126,489.1803,0min48sec
3440,-461.0601,17919.4735,488.9212,0min47sec
3450,-459.7341,17871.5627,488.6665,0min48sec
3460,-458.4254,17824.1409,488.4136,0min47sec
3470,-457.1190,17776.9344,488.1610,0min45sec
3480,-455.8156,17729.8590,487.9104,0min46sec
3490,-454.5253,17683.1494,487.6580,0min46sec
3500,-453.2462,17636.5857,487.4069,0min47sec
3510,-451.9704,17590.4668,487.1536,0min46sec
3520,-450.6939,17544.3940,486.9035,0min24sec
3530,-449.4310,17498.4291,486.6515,0min25sec
3540,-448.1797,17452.8106,486.4066,0min24sec
3550,-446.9291,17407.4412,486.1580,0min25sec
3560,-445.6828,17362.6631,485.9118,0min24sec
3570,-444.4492,17317.7126,485.6678,0min43sec
3580,-443.2281,17273.2225,485.4258,1min6sec
3590,-442.0088,17229.1388,485.1945,1min8sec
3600,-440.7911,17185.7831,484.9663,1min6sec
3610,-439.5841,17141.9927,484.7317,1min8sec
3620,-438.3856,17098.6103,484.4963,1min6sec
3630,-437.1903,17055.3957,484.2629,0min23sec
3640,-435.9897,17012.2415,484.0296,0min21sec
3650,-434.8024,16969.7514,483.7953,0min23sec
3660,-433.6263,16927.2856,483.5644,0min25sec
3670,-432.4619,16885.0725,483.3337,0min24sec
3680,-431.2892,16842.8869,483.1040,0min27sec
3690,-430.1291,16801.0195,482.8742,1min0sec
3700,-428.9758,16759.1387,482.6446,1min9sec
3710,-427.8310,16717.3951,482.4157,1min12sec
3720,-426.7054,16676.1450,482.1909,1min20sec
3730,-425.5756,16634.8523,481.9673,1min17sec
3740,-424.4506,16593.9770,481.7452,1min16sec
3750,-423.3289,16553.0337,481.5232,1min17sec
3760,-422.2117,16512.4072,481.2991,1min13sec
3770,-421.1040,16471.9563,481.0759,1min11sec
3780,-420.0035,16432.0324,480.8554,1min10sec
3790,-418.9188,16392.3579,480.6361,1min9sec
3800,-417.8193,16352.7250,480.4207,1min8sec
3810,-416.7432,16313.3599,480.2103,1min10sec
3820,-415.6617,16273.9037,479.9957,1min10sec
3830,-414.5874,16234.7809,479.7865,1min8sec
3840,-413.5190,16196.0079,479.5737,1min11sec
3850,-412.4532,16157.3035,479.3656,1min12sec
3860,-411.3939,16118.8175,479.1529,1min11sec
3870,-410.3296,16080.5078,478.9423,1min12sec
3880,-409.2814,16042.6183,478.7343,1min10sec
3890,-408.2381,16004.8158,478.5288,1min11sec
3900,-407.2043,15967.1102,478.3216,1min12sec
3910,-406.1771,15929.7834,478.1173,1min11sec
3920,-405.1497,15892.6600,477.9144,1min2sec
3930,-404.1254,15855.5059,477.7116,1min7sec
3940,-403.1176,15818.5844,477.5118,1min14sec
3950,-402.1109,15781.4955,477.3079,1min12sec
3960,-401.1042,15744.7794,477.1051,1min16sec
3970,-400.1013,15708.0776,476.9054,1min14sec
3980,-399.1169,15671.9058,476.7089,1min15sec
3990,-398.1245,15635.7901,476.5112,1min15sec
4000,-397.1398,15599.7369,476.3128,1min12sec
4010,-396.1643,15564.1378,476.1161,1min11sec
4020,-395.1866,15528.4961,475.9178,1min11sec
4030,-394.2159,15492.8110,475.7239,1min10sec
4040,-393.2480,15457.3079,475.5282,1min11sec
4050,-392.2891,15422.0291,475.3339,1min11sec
4060,-391.3387,15386.9107,475.1400,1min9sec
4070,-390.3873,15351.9767,474.9459,1min10sec
4080,-389.4319,15317.2576,474.7572,1min13sec
4090,-388.4915,15282.7169,474.5727,1min15sec
4100,-387.5514,15248.1678,474.3848,1min15sec
4110,-386.6155,15213.8724,474.2000,1min14sec
4120,-385.6836,15179.8025,474.0174,1min12sec
4130,-384.7612,15145.9054,473.8305,1min10sec
4140,-383.8396,15111.9800,473.6420,1min11sec
4150,-382.9274,15078.3194,473.4577,1min14sec
4160,-382.0088,15044.7696,473.2730,1min14sec
4170,-381.1060,15011.5631,473.0895,1min15sec
4180,-380.2092,14978.1834,472.9076,1min13sec
4190,-379.3111,14944.9155,472.7245,1min11sec
4200,-378.4144,14911.9524,472.5434,1min14sec
4210,-377.5323,14879.1361,472.3643,1min14sec
4220,-376.6468,14846.4008,472.1834,1min14sec
4230,-375.7639,14813.7930,472.0061,1min15sec
4240,-374.8850,14781.2544,471.8256,1min16sec
4250,-374.0116,14749.0333,471.6526,1min17sec
4260,-373.1403,14717.0362,471.4809,1min22sec
4270,-372.2790,14685.1191,471.3096,1min17sec
4280,-371.4210,14653.3586,471.1348,1min17sec
4290,-370.5710,14621.7334,470.9636,1min14sec
4300,-369.7223,14590.2010,470.7939,0min50sec
4310,-368.8696,14558.9832,470.6278,0min30sec
4320,-368.0277,14527.8137,470.4574,0min42sec
4330,-367.1919,14496.5808,470.2845,0min31sec
4340,-366.3561,14465.5058,470.1124,0min29sec
4350,-365.5239,14434.7707,469.9458,0min31sec
4360,-364.6974,14404.0531,469.7795,0min29sec
4370,-363.8754,14373.7034,469.6178,0min29sec
4380,-363.0442,14343.2735,469.4504,0min50sec
4390,-362.2304,14312.8537,469.2846,0min54sec
4400,-361.4147,14282.5800,469.1161,0min54sec
4410,-360.6099,14252.4874,468.9518,0min54sec
4420,-359.8060,14222.6183,468.7897,0min56sec
4430,-358.9991,14192.8143,468.6254,0min55sec
4440,-358.1990,14163.0899,468.4655,0min57sec
4450,-357.4029,14133.5818,468.3026,0min58sec
4460,-356.6102,14104.1636,468.1396,0min56sec
4470,-355.8217,14074.8235,467.9816,0min55sec
4480,-355.0361,14045.6301,467.8222,0min55sec
4490,-354.2547,14016.7148,467.6644,0min55sec
4500,-353.4858,13987.8338,467.5066,0min55sec
4510,-352.7154,13958.9196,467.3486,0min56sec
4520,-351.9428,13930.1157,467.1940,0min55sec
4530,-351.1810,13901.5091,467.0388,0min56sec
4540,-350.4167,13872.9454,466.8842,0min55sec
4550,-349.6607,13844.6800,466.7311,0min53sec
4560,-348.9056,13816.6034,466.5777,0min46sec
4570,-348.1456,13788.5382,466.4221,0min23sec
4580,-347.4038,13760.6187,466.2694,0min29sec
4590,-346.6608,13732.8185,466.1166,0min28sec
4600,-345.9168,13704.9350,465.9635,0min26sec
4610,-345.1708,13677.1740,465.8089,0min27sec
4620,-344.4343,13649.5730,465.6563,0min29sec
4630,-343.7021,13622.0719,465.5061,0min32sec
4640,-342.9717,13594.6636,465.3542,0min31sec
4650,-342.2431,13567.5710,465.2044,0min31sec
4660,-341.5177,13540.5007,465.0564,0min32sec
4670,-340.7962,13513.7265,464.9100,0min33sec
4680,-340.0793,13487.0406,464.7633,0min36sec
4690,-339.3624,13460.2854,464.6172,0min44sec
4700,-338.6566,13433.8509,464.4739,0min44sec
4710,-337.9436,13407.2723,464.3297,0min44sec
4720,-337.2391,13380.8528,464.1833,0min48sec
4730,-336.5382,13354.5660,464.0396,0min43sec
4740,-335.8315,13328.4341,463.8969,0min42sec
4750,-335.1371,13302.3427,463.7574,0min42sec
4760,-334.4416,13276.4048,463.6205,0min47sec
4770,-333.7550,13250.4075,463.4831,0min45sec
4780,-333.0612,13224.6312,463.3444,0min46sec
4790,-332.3740,13198.8294,463.2034,0min46sec
4800,-331.6899,13173.2103,463.0641,0min54sec
4810,-331.0090,13147.5968,462.9249,0min45sec
4820,-330.3295,13122.1437,462.7875,0min44sec
4830,-329.6547,13096.9318,462.6506,0min53sec
4840,-328.9781,13071.8921,462.5146,0min41sec
4850,-328.3077,13046.8657,462.3812,0min43sec
4860,-327.6470,13021.9204,462.2467,0min39sec
4870,-326.9818,12997.0982,462.1144,0min37sec
4880,-326.3196,12972.2149,461.9786,0min37sec
4890,-325.6623,12947.5105,461.8458,0min45sec
4900,-325.0014,12922.8828,461.7088,0min43sec
4910,-324.3408,12898.4908,461.5764,0min39sec
4920,-323.6933,12874.0938,461.4467,1min18sec
4930,-323.0471,12849.6403,461.3137,0min52sec
4940,-322.4008,12825.2916,461.1828,0min38sec
4950,-321.7572,12801.1655,461.0509,0min40sec
4960,-321.1105,12777.1545,460.9189,0min39sec
4970,-320.4807,12753.3658,460.7933,0min39sec
